,movie_title,total
1141,rambo: first blood part ii,George P. CosmatosJulia NicksonAction Adventure Thriller WarSylvester StalloneMartin Kove
1142,the juror,Brian GibsonDemi MooreDrama ThrillerJoseph Gordon-LevittAnne Heche
1143,pinocchio,Norman FergusonDickie JonesAnimation Family Fantasy MusicalMel BlancCliff Edwards
1144,heaven's gate,Michael CiminoSam WaterstonAdventure Drama WesternJeff BridgesIsabelle Huppert
1145,underworld: evolution,Len WisemanTony CurranAction Adventure Fantasy Sci-Fi ThrillerSophia MylesDerek Jacobi
1146,victor frankenstein,Paul McGuiganSpencer WildingDrama Horror Sci-Fi ThrillerDaniel RadcliffeDaniel Mays
1147,finding forrester,Gus Van SantRob BrownDramaF. Murray AbrahamMichael Nouri
1148,28 days,Betty ThomasViggo MortensenComedy DramaSteve BuscemiElizabeth Perkins
1149,unleashed,Louis LeterrierJet LiAction Crime Drama ThrillerMorgan FreemanBob Hoskins
1150,the sweetest thing,Roger KumbleLillian AdamsComedy RomanceJudith ChapmanChelsea Bond
1151,the firm,Sydney PollackHolly HunterDrama Mystery ThrillerTom CruiseWilford Brimley
1152,charlie st. cloud,Burr SteersCharlie TahanDrama Fantasy RomanceAugustus PrewValerie Tian
1153,the mechanic,Simon WestTony GoldwynAction Crime ThrillerJason StathamMini Anden
1154,21 jump street,Phil LordDax FlameAction Comedy CrimeChanning TatumRob Riggle
1155,notting hill,Roger MichellClarke PetersComedy Drama RomanceJulia RobertsDylan Moran
1156,chicken run,Peter LordMiranda RichardsonAdventure Animation Comedy Drama FamilyImelda StauntonJulia Sawalha
1157,along came polly,John HamburgMasi OkaComedy RomancePhilip Seymour HoffmanDebra Messing
1158,boomerang,Reginald HudlinEartha KittComedy Drama RomanceJohn WitherspoonGeoffrey Holder
1159,the heat,Paul FeigWilliam XifarasAction Comedy CrimeMichael RapaportDemián Bichir
1160,cleopatra,Joseph L. MankiewiczRichard BurtonBiography Drama History RomanceMartin LandauRoddy McDowall
1161,here comes the boom,Frank CoraciReggie LeeAction Comedy SportSalma HayekCharice
1162,high crimes,Carl FranklinAdam ScottCrime Drama Mystery ThrillerMorgan FreemanBruce Davison
1163,the mirror has two faces,Barbra StreisandAustin PendletonComedy Drama RomanceJeff BridgesMimi Rogers
1164,the mothman prophecies,Mark PellingtonWill PattonDrama Horror Mystery ThrillerDebra MessingDavid Eigenberg
1165,brüno,Larry CharlesElton JohnComedyBonoSlash
1166,licence to kill,John GlenTalisa SotoAction Adventure ThrillerRobert DaviAnthony Zerbe
1167,red riding hood,Catherine HardwickeBilly BurkeFantasy Horror Mystery ThrillerGary OldmanVirginia Madsen
1168,15 minutes,John HerzfeldCharlize TheronAction Crime Drama ThrillerRobert De NiroKelsey Grammer
1169,super mario bros.,Annabel JankelFisher StevensAdventure Comedy Family Fantasy Sci-FiBob HoskinsFiona Shaw
1170,lord of war,Andrew NiccolJeremy CrutchleyCrime Drama ThrillerNicolas CageJared Burke
1171,hero,Yimou ZhangTony Chiu Wai LeungAction Adventure HistoryJet LiMaggie Cheung
1172,one for the money,Julie Anne RobinsonDebbie ReynoldsAction Comedy Crime Romance ThrillerFisher StevensPatrick Fischler
1173,the interview,Evan GoldbergRandall ParkComedyJames FrancoAnders Holm
1174,the warrior's way,Sngmoo LeeDong-gun JangAction Fantasy WesternTony CoxJed Brophy
1175,mchale's navy            ,unknownGavin MacLeodComedy WarTim ConwayBob Hastings
1176,micmacs,Jean-Pierre JeunetDany BoonAction Comedy CrimeOmar SyAndré Dussollier
1177,8 mile,Curtis HansonOmar Benson MillerDrama MusicMekhi PhiferEvan Jones
1178,animal kingdom: let's go ape,Jamel DebbouzeYoussef HajdiAdventure Animation Comedy FamilyJamel DebbouzeMélissa Theuriau
1179,a knight's tale,Brian HelgelandRufus SewellAction Adventure RomanceHeath LedgerBérénice Bejo
1180,the medallion,Gordon ChanLee EvansAction Comedy FantasyJulian SandsAnthony Chau-Sang Wong
1181,the sixth sense,M. Night ShyamalanHaley Joel OsmentDrama Mystery ThrillerBruce WillisOlivia Williams
1182,man on a ledge,Asger LethMandy GonzalezAction Crime ThrillerRobert ClohessyJ. Smith-Cameron
1183,the big year,David FrankelKevin PollakComedyJoel McHaleJoBeth Williams
1184,the karate kid,John G. AvildsenWilliam ZabkaAction Drama Family SportMartin KoveWilliam Bassett
1185,american hustle,David O. RussellChristian BaleCrime DramaJennifer LawrenceBradley Cooper
1186,the proposal,Anne FletcherDenis O'HareComedy Drama RomanceRyan ReynoldsCraig T. Nelson
1187,double jeopardy,Bruce BeresfordAnnabeth GishCrime Mystery ThrillerBruce GreenwoodBruce Campbell
1188,back to the future part ii,Robert ZemeckisJeffrey WeissmanAdventure Comedy Sci-FiLea ThompsonThomas F. Wilson
1189,lucy,Luc BessonMorgan FreemanAction Sci-Fi ThrillerScarlett JohanssonAmr Waked
1190,fifty shades of grey,Sam Taylor-JohnsonLuke GrimesDrama RomanceJennifer EhleCallum Rennie
1191,spy kids 3-d: game over,Robert RodriguezSalma HayekAction Adventure Comedy Family Sci-FiSylvester StalloneAlexa PenaVega
1192,a time to kill,Joel SchumacherMatthew McConaugheyCrime Drama ThrillerKevin SpaceyOliver Platt
1193,cheaper by the dozen,Shawn LevyAlyson StonerComedy FamilyTom WellingBonnie Hunt
1194,lone survivor,Peter BergScott ElrodAction Biography Drama Thriller WarJerry FerraraDan Bilzerian
1195,a league of their own,Penny MarshallLori PettyComedy Drama SportTom HanksRosie O'Donnell
1196,the conjuring 2,James WanFrances O'ConnorHorror Mystery ThrillerJavier BotetRobin Atkin Downes
1197,the social network,David FincherDustin FitzsimonsBiography DramaAndrew GarfieldMarcella Lentz-Pope
1198,he's just not that into you,Ken KwapisSabrina RevelleComedy Drama RomanceCarmen PerezSachiko Ishida
1199,scary movie 4,David ZuckerCarmen ElectraComedyBeau MirchoffRegina Hall
1200,scream 3,Wes CravenRoger JacksonHorror MysteryKelly RutherfordNancy O'Dell
1201,back to the future part iii,Robert ZemeckisJeffrey WeissmanAdventure Comedy Sci-Fi WesternLea ThompsonThomas F. Wilson
1202,get hard,Etan CohenAlison BrieComedy CrimeWill FerrellCraig T. Nelson
1203,bram stoker's dracula,Francis Ford CoppolaAnthony HopkinsFantasy Horror RomanceKeanu ReevesGary Oldman
1204,julie & julia,Nora EphronMary Lynn RajskubBiography Drama RomanceMeryl StreepVanessa Ferlito
1205,42,Brian HelgelandChristopher MeloniBiography Drama SportHarrison FordNicole Beharie
1206,the talented mr. ripley,Anthony MinghellaMatt DamonCrime Drama ThrillerPhilip Seymour HoffmanJack Davenport
1207,dumb and dumber to,Bobby FarrellyKathleen TurnerComedyBill MurrayRob Riggle
1208,eight below,Frank MarshallBruce GreenwoodAdventure Drama FamilyPaul WalkerWendy Crewson
1209,the intern,Nancy MeyersAnne HathawayComedy DramaRobert De NiroRene Russo
1210,ride along 2,Tim StoryNadine VelazquezAction ComedyOlivia MunnBruce McGill
1211,the last of the mohicans,Michael MannTerry KinneyAction Adventure Drama Romance WarWes StudiEric Schweig
1212,ray,Taylor HackfordCurtis ArmstrongBiography Drama MusicBokeem WoodbineHarry Lennix
1213,sin city,Frank MillerPowers BootheCrime ThrillerRosario DawsonJason Douglas
1214,vantage point,Pete TravisEdgar RamírezCrime Drama Mystery ThrillerDennis QuaidWilliam Hurt
1215,"i love you, man",John HamburgJon FavreauComedy RomanceJ.K. SimmonsJane Curtin
1216,shallow hal,Bobby FarrellyBruce McGillComedy Drama Fantasy RomanceJason AlexanderSusan Ward
1217,jfk,Oliver StoneJay O. SandersDrama History ThrillerSally KirklandCheryl Penland
1218,big momma's house 2,John WhitesellNia LongComedy CrimeChloë Grace MoretzMarisol Nichols
1219,the mexican,Gore VerbinskiBrad PittAdventure Comedy Crime RomanceJ.K. SimmonsJulia Roberts
1220,unbroken,Angelina Jolie PittJack O'ConnellBiography Drama Sport WarFinn WittrockAlex Russell
1221,17 again,Burr SteersHunter ParrishComedy Drama Family Fantasy RomanceMatthew PerryThomas Lennon
1222,the other woman,Nick CassavetesKate UptonComedy RomanceDon JohnsonDavid Thornton
1223,the final destination,David R. EllisAndrew FiscellaHorrorKrista AllenShantel VanSanten
1224,bridge of spies,Steven SpielbergMark RylanceDrama History ThrillerTom HanksAmy Ryan
1225,behind enemy lines,John MooreDavid KeithAction Drama Thriller WarJoaquim de AlmeidaSam Jaeger
1226,get him to the greek,Nicholas StollerMario LopezComedy MusicPinkLino Facioli
1227,shall we dance,Peter ChelsomNick CannonComedy Drama RomanceLisa Ann WalterOmar Benson Miller
1228,small soldiers,Joe DanteDenis LearyAction Adventure Comedy Family Sci-FiKirsten DunstRobert Picardo
1229,spawn,Mark A.Z. DippéFrank WelkerAction HorrorMichael Jai WhiteMiko Hughes
1230,the count of monte cristo,Kevin ReynoldsJames FrainAction Adventure Drama Romance ThrillerHenry CavillMichael Wincott
1231,the lincoln lawyer,Brad FurmanMargarita LevievaCrime Drama ThrillerMatthew McConaugheyFrances Fisher
1232,unknown,Jaume Collet-SerraFrank LangellaAction Mystery ThrillerLiam NeesonAidan Quinn
1233,the prestige,Christopher NolanHugh JackmanDrama Mystery Sci-Fi ThrillerChristian BaleScarlett Johansson
1234,horrible bosses 2,Sean AndersChristoph WaltzComedy CrimeKevin SpaceyLindsay Sloane
1235,escape from planet earth,Cal BrunkerPaul ScheerAdventure Animation Comedy Family Sci-FiBrendan FraserJonathan Morgan Heit
1236,apocalypto,Mel GibsonDalia HernándezAction Adventure Drama ThrillerRudy YoungbloodJonathan Brewer
1237,the living daylights,John GlenDesmond LlewelynAction Adventure ThrillerJoe Don BakerArt Malik
1238,predators,Nimród AntalAlice BragaAction Adventure Sci-Fi ThrillerTopher GraceDerek Mears
1239,legal eagles,Ivan ReitmanDebra WingerComedy Crime RomanceBrian DennehyRoscoe Lee Browne
1240,secret window,David KoeppCharles S. DuttonMystery ThrillerJohnny DeppTimothy Hutton
1241,the lake house,Alejandro AgrestiDylan WalshDrama Fantasy RomanceKeanu ReevesEbon Moss-Bachrach
1242,the skeleton key,Iain SoftleyDeneen TylerHorror Mystery ThrillerGena RowlandsJoy Bryant
1243,the odd life of timothy green,Peter HedgesOdeya RushComedy Drama Family FantasyJennifer GarnerCommon
1244,made of honor,Paul WeilandBeau GarrettComedy RomanceBusy PhilippsKevin Sussman
1245,jersey boys,Clint EastwoodSteve SchirripaBiography Drama Music MusicalJohnny CannizzaroScott Vance
1246,the rainmaker,Francis Ford CoppolaDean StockwellCrime Drama ThrillerMatt DamonVirginia Madsen
1247,gothika,Mathieu KassovitzCharles S. DuttonHorror Mystery ThrillerRobert Downey Jr.Bernard Hill
1248,amistad,Steven SpielbergMorgan FreemanDrama HistoryAnthony HopkinsMatthew McConaughey
1249,medicine man,John McTiernanJosé WilkerAdventure Drama RomanceLorraine BraccoSean Connery
1250,aliens vs. predator: requiem,Colin StrauseJohnny LewisAction Horror Sci-Fi ThrillerSam TrammellIan Whyte
1251,ri¢hie ri¢h,Donald PetrieJohn LarroquetteComedy FamilyMacaulay CulkinJonathan Hyde
1252,autumn in new york,Joan ChenSam TrammellDrama RomanceJ.K. SimmonsElaine Stritch
1253,music and lyrics,Marc LawrenceScott PorterComedy Music RomanceBrad GarrettHaley Bennett
1254,paul,Greg MottolaNelson AscencioAdventure Comedy Sci-FiBobby LeeJeremy Owen
1255,the guilt trip,Anne FletcherTom VirtueComedy DramaMiriam MargolyesJulene Renee
1256,scream 4,Wes CravenAimee TeegardenHorror MysteryAlison BrieShenae Grimes-Beech
1257,8mm,Joel SchumacherChris BauerMystery ThrillerNicolas CageAnthony Heald
1258,the doors,Oliver StoneKevin DillonBiography Drama Music MusicalMichael WincottKathleen Quinlan
1259,sex tape,Jake KasdanRandall ParkComedyJames WilcoxNat Faxon
1260,hanging up,Diane KeatonCelia WestonComedy DramaAdam ArkinJesse James
1261,final destination 5,Steven QualeJacqueline MacInnes WoodHorrorEmma BellCourtney B. Vance
1262,mickey blue eyes,Kelly MakinBurt YoungComedy Crime RomanceJeanne TripplehornVincent Pastore
1263,pay it forward,Mimi LederHaley Joel OsmentDramaKevin SpaceyAngie Dickinson
1264,fever pitch,Bobby FarrellyKaDee StricklandComedy Drama Romance SportJimmy FallonIone Skye
1265,arthur            ,unknownMelissa AltroAnimation Comedy FamilyBruce DinsmoreDaniel Brochu
1266,drillbit taylor,Steven BrillShaun WeissComedy DramaLisa Ann WalterMatt Walsh
1267,a million ways to die in the west,Seth MacFarlaneCharlize TheronComedy WesternLiam NeesonSeth MacFarlane
1268,the shadow,Russell MulcahyPeter BoyleAction Adventure Crime Fantasy Mystery ThrillerJonathan WintersJohn Kapelos
1269,extremely loud & incredibly close,Stephen DaldryThomas HornAdventure Drama MysteryTom HanksStephen Henderson
1270,morning glory,Roger MichellPatti D'ArbanvilleComedy Drama RomanceNoah BeanVanessa Aspillaga
1271,get rich or die tryin',Jim SheridanBill DukeBiography Crime Drama Music50 CentMarc John Jefferies
1272,the art of war,Christian DuguayCary-Hiroyuki TagawaAction Adventure Crime ThrillerMichael BiehnAnne Archer
1273,rent,Chris ColumbusDavid FineDrama Musical RomanceRosario DawsonJesse L. Martin
1274,bless the child,Chuck RussellJimmy SmitsCrime Drama Horror ThrillerRufus SewellAngela Bettis
1275,the out-of-towners,Sam WeismanValerie PerriComedyOliver HudsonCarlease Burke
1276,the island of dr. moreau,John FrankenheimerTemuera MorrisonHorror Sci-Fi ThrillerMarlon BrandoMarco Hofschneider
1277,the musketeer,Peter HyamsJustin ChambersAction Adventure RomanceCatherine DeneuveStephen Rea
1278,the other boleyn girl,Justin ChadwickScarlett JohanssonBiography Drama History RomanceNatalie PortmanBenedict Cumberbatch
1279,sweet november,Pat O'ConnorCharlize TheronDrama RomanceKeanu ReevesFrank Langella
1280,the reaping,Stephen HopkinsAndrea FrankleHorror ThrillerStephen ReaWilliam Ragsdale
1281,mean streets,Martin ScorseseDavid CarradineCrime Drama Romance ThrillerRobert De NiroDavid Proval
1282,renaissance man,Penny MarshallCliff RobertsonComedy DramaEd Begley Jr.Lillo Brancato
1283,colombiana,Olivier MegatonCallum BlueAction Crime Drama ThrillerJordi MollàJesse Borrego
1284,the magic sword: quest for camelot,Frederik Du ChauJaleel WhiteAdventure Animation Comedy Drama Family Fantasy MusicalGary OldmanEric Idle
1285,city by the sea,Michael Caton-JonesJames FrancoCrime Drama Mystery ThrillerRobert De NiroJohn Doman
1286,at first sight,Irwin WinklerNathan LaneDrama RomanceMira SorvinoSteven Weber
1287,torque,Joseph KahnJay HernandezAction Comedy CrimeDane CookChristina Milian
1288,city hall,Harold BeckerMartin LandauDrama ThrillerAl PacinoBridget Fonda
1289,showgirls,Paul VerhoevenElizabeth BerkleyDramaBobbie PhillipsRobert Davi
1290,marie antoinette,Sofia CoppolaShirley HendersonBiography Drama History RomanceKirsten DunstRip Torn
1291,kiss of death,Barbet SchroederMichael RapaportAction Crime ThrillerNicolas CagePhilip Baker Hall
1292,get carter,Stephen KayMiranda RichardsonAction Crime Drama ThrillerSylvester StalloneLauren Lee Smith
1293,the impossible,J.A. BayonaGeraldine ChaplinDrama ThrillerNaomi WattsOaklee Pendergast
1294,ishtar,Elaine MayWarren BeattyAction Adventure Comedy Music ThrillerCarol KaneIsabelle Adjani
1295,fantastic mr. fox,Wes AndersonMeryl StreepAdventure Animation Comedy Crime FamilyBill MurrayHelen McCrory
1296,life or something like it,Stephen HerekStockard ChanningComedy RomanceAngelina Jolie PittJames Gammon
1297,memoirs of an invisible man,John CarpenterMichael McKeanComedy Romance Sci-Fi ThrillerRichard EpcarPatricia Heaton
1298,amélie,Jean-Pierre JeunetJamel DebbouzeComedy RomanceMathieu KassovitzIsabelle Nanty
1299,new york minute,Dennie GordonBob SagetComedy Crime Family RomanceMary-Kate OlsenRiley Smith
1300,alfie,Charles ShyerNia LongComedy Drama RomanceOmar EppsJane Krakowski
1301,big miracle,Ken KwapisTim Blake NelsonBiography Drama RomanceTed DansonAndrew Daly
1302,the deep end of the ocean,Ulu GrosbardTreat WilliamsDramaAlexa PenaVegaJonathan Jackson
1303,feardotcom,William MaloneJeffrey CombsCrime Horror ThrillerNatascha McElhoneUdo Kier
1304,cirque du freak: the vampire's assistant,Paul WeitzSalma HayekAction Adventure Fantasy ThrillerJosh HutchersonPatrick Fugit
1305,victor frankenstein,Paul McGuiganSpencer WildingDrama Horror Sci-Fi ThrillerDaniel RadcliffeDaniel Mays
1306,duplex,Danny DeVitoAmber VallettaComedyJustin TherouxHarvey Fierstein
1307,soul men,Malcolm D. LeeSean HayesComedy Drama MusicBernie MacMike Epps
1308,raise the titanic,Jerry JamesonJason RobardsAction Adventure Drama ThrillerM. Emmet WalshAnne Archer
1309,universal soldier: the return,Mic RodgersDaniel von BargenAction Sci-FiMichael Jai WhiteXander Berkeley
1310,pandorum,Christian AlvartDennis QuaidAction Horror Mystery Sci-Fi ThrillerNorman ReedusEddie Rouse
1311,impostor,Gary FlederMekhi PhiferDrama Mystery Sci-Fi ThrillerGary DourdanTim Guinee
1312,extreme ops,Christian DuguayBridgette Wilson-SamprasAction Adventure ThrillerRufus SewellRupert Graves
1313,just visiting,Jean-Marie PoiréMatt RossComedy Fantasy Sci-FiBridgette Wilson-SamprasJohn Aylward
1314,sunshine,Danny BoyleBenedict WongAdventure Sci-Fi ThrillerChris EvansTroy Garity
1315,a thousand words,Brian RobbinsLou SalibaComedy DramaJohn GatinsGreg Collins
1316,delgo,Marc F. AdlerAnne BancroftAdventure Animation Comedy Fantasy RomanceEric IdleKelly Ripa
1317,the gunman,Pierre MorelMark RylanceAction Crime Drama Mystery ThrillerRay WinstoneJasmine Trinca
1318,alex rider: operation stormbreaker,Geoffrey SaxSophie OkonedoAction Adventure Family ThrillerAlex PettyferAshley Walters
1319,disturbia,D.J. CarusoAaron YooDrama Mystery ThrillerSarah RoemerJose Pablo Cantillo
1320,hackers,Iain SoftleyFisher StevensComedy Crime Drama ThrillerAngelina Jolie PittLorraine Bracco
1321,the hunting party,Richard ShepardZan MaroltAdventure Comedy Drama Romance Thriller WarJames BrolinLjubomir Kerekes
1322,the hudsucker proxy,Joel CoenBill CobbsComedy FantasyJennifer Jason LeighJohn Mahoney
1323,the warlords,Peter Ho-Sun ChanTakeshi KaneshiroAction Drama History Romance WarJet LiAndy Lau
1324,nomad: the warrior,Sergey BodrovKuno BeckerDrama History WarJay HernandezJason Scott Lee
1325,snowpiercer,Joon-ho BongEwen BremnerAction Drama Sci-Fi ThrillerChris EvansKang-ho Song
1326,a monster in paris,Bibo BergeronBob BalabanAdventure Animation Comedy Fantasy Music RomanceAdam GoldbergFrançois Cluzet
1327,the last shot,Jeff NathansonGlenn MorshowerComedyMatthew BroderickTim Blake Nelson
1328,the crow,Alex ProyasBai LingAction Drama FantasyMichael WincottDavid Patrick Kelly
1329,baahubali: the beginning,S.S. RajamouliAnushka ShettyAction Adventure Drama Fantasy WarTamannaah BhatiaPrabhas
1330,the time traveler's wife,Robert SchwentkeBrooklynn ProulxDrama Fantasy Romance Sci-FiArliss HowardMichelle Nolden
1331,because i said so,Michael LehmannStephen CollinsComedy RomanceColin FergusonTom Everett Scott
1332,the fast and the furious,Rob CohenVin DieselAction Crime ThrillerPaul WalkerJordana Brewster
1333,frankenweenie,Tim BurtonCatherine O'HaraAnimation Comedy Family Horror Sci-FiMartin LandauAtticus Shaffer
1334,serenity,Joss WhedonSean MaherAction Adventure Sci-Fi ThrillerAdam BaldwinMichael Hitchcock
1335,against the ropes,Charles S. DuttonCharles S. DuttonBiography Drama Romance SportOmar EppsTim Daly
1336,superman iii,Richard LesterRobert VaughnAction Comedy Sci-FiMargot KidderJackie Cooper
1337,grudge match,Peter SegalSylvester StalloneComedy SportRobert De NiroOscar Gale
1338,red cliff,John WooTony Chiu Wai LeungAction Adventure Drama History WarTakeshi KaneshiroWei Zhao
1339,sweet home alabama,Andy TennantMary Lynn RajskubComedy RomanceEthan EmbryCourtney Gains
1340,the ugly truth,Robert LuketicJohn Michael HigginsComedy RomanceGerard ButlerEric Winter
1341,sgt. bilko,Jonathan LynnPhil HartmanComedyAustin PendletonMax Casella
1342,spy kids 2: island of lost dreams,Robert RodriguezAlexa PenaVegaAction Adventure Comedy Family Sci-FiSteve BuscemiEmily Osment
1343,star trek: generations,David CarsonAlan RuckAction Adventure Mystery Sci-Fi ThrillerLeVar BurtonJonathan Frakes
1344,the grandmaster,Kar-Wai WongHye-kyo SongAction Biography DramaTony Chiu Wai LeungElvis Tsui
1345,water for elephants,Francis LawrenceChristoph WaltzDrama RomanceRobert PattinsonJames Frain
1346,3rd rock from the sun            ,unknownWayne KnightComedy Family Sci-FiJoseph Gordon-LevittKristen Johnston
1347,dragon nest: warriors' dawn,Yuefeng SongBianca CollinsAdventure Animation Family FantasyBlythe AuffarthJiao Xu
1348,the hurricane,Norman JewisonVincent PastoreBiography Drama SportDenzel WashingtonDeborah Kara Unger
1349,enough,Michael AptedJeff KoberCrime Drama ThrillerBill CobbsBilly Campbell
1350,heartbreakers,David MirkinAnne BancroftComedy Crime RomanceSarah SilvermanJeffrey Jones
1351,paul blart: mall cop 2,Andy FickmanDaniella AlonsoAction Comedy CrimeD.B. WoodsideEduardo Verástegui
1352,angel eyes,Luis MandokiShirley KnightDrama RomanceSonia BragaKari Matchett
1353,joe somebody,John PasquinKen MarinoComedy DramaJim BelushiKelly Lynch
1354,the ninth gate,Roman PolanskiFrank LangellaMystery ThrillerJohnny DeppLena Olin
1355,extreme measures,Michael AptedPaul GuilfoyleCrime Drama Mystery ThrillerJ.K. SimmonsBill Nunn
1356,rock star,Stephen HerekDagmara DominczykDrama MusicBeth GrantMatthew Glave
1357,precious,Lee DanielsGabourey SidibeDramaMo'NiqueMariah Carey
1358,white squall,Ridley ScottJason MarsdenAdventure DramaJeff BridgesEthan Embry
1359,the thing,John CarpenterRichard MasurHorror Mystery Sci-FiWilford BrimleyDavid Clennon
1360,riddick,David TwohyNolan Gerard FunkAction Sci-Fi ThrillerVin DieselBokeem Woodbine
1361,switchback,Jeb StuartClaudia StedelinCrime Mystery ThrillerGregory Scott CumminsTed Markland
1362,texas rangers,Steve MinerUsher RaymondAction Adventure Drama Thriller WesternTom SkerrittLeonor Varela
1363,city of ember,Gil KenanToby JonesAdventure Family Fantasy Sci-FiBill MurrayHarry Treadaway
1364,the master,Paul Thomas AndersonJeffrey W. JenkinsDramaMike HowardBruce Goodchild
1365,virgin territory,David LelandRyan CartwrightAdventure Comedy History RomanceHayden ChristensenDavid Walliams
1366,the express,Gary FlederNicole BeharieBiography Drama SportDennis QuaidCharles S. Dutton
1367,the 5th wave,J BlakesonMaggie SiffAction Adventure Sci-Fi ThrillerChloë Grace MoretzNick Robinson
1368,creed,Ryan CooglerPhylicia RashadDrama SportSylvester StalloneGraham McTavish
1369,the town,Ben AffleckJon HammCrime Drama ThrillerJeremy RennerOwen Burke
1370,what to expect when you're expecting,Kirk JonesDennis QuaidComedy Drama RomanceAnna KendrickThomas Lennon
1371,burn after reading,Ethan CoenBrad PittComedy DramaJ.K. SimmonsKevin Sussman
1372,nim's island,Jennifer FlackettAnthony SimcoeAdventure Comedy Family FantasyGerard ButlerChristopher James Baker
1373,rush,Ron HowardOlivia WildeAction Biography Drama SportChris HemsworthAlexandra Maria Lara
1374,magnolia,Paul Thomas AndersonNeil FlynnDramaPatton OswaltJim Meskimen
1375,cop out,Kevin SmithTracy MorganAction Comedy CrimeBruce WillisKevin Pollak
1376,how to be single,Christian DitterDamon Wayans Jr.Comedy RomanceAlison BrieNicholas Braun
1377,dolphin tale,Charles Martin SmithMichael RoarkDrama FamilyMorgan FreemanHarry Connick Jr.
1378,twilight,Catherine HardwickeTaylor LautnerDrama Fantasy RomanceKristen StewartAnna Kendrick
1379,john q,Nick CassavetesLaura HarringCrime Drama ThrillerDenzel WashingtonAnne Heche
1380,blue streak,Les MayfieldDave ChappelleAction Comedy Crime ThrillerPeter GreeneTamala Jones
1381,we're the millers,Rawson Marshall ThurberMolly C. QuinnComedy CrimeLaura-LeighThomas Lennon
1382,obitaemyy ostrov,Fedor BondarchukFedor BondarchukAction Adventure Sci-FiYuliya SnigirAleksey Serebryakov
1383,breakdown,Jonathan MostowM.C. GaineyAction Crime Drama Mystery ThrillerKathleen QuinlanJ.T. Walsh
1384,never say never again,Irvin KershnerKlaus Maria BrandauerAction Adventure ThrillerBernie CaseyBarbara Carrera
1385,hot tub time machine,Steve PinkCollette WolfeComedy Sci-FiCharlie McDermottCrystal Lowe
1386,dolphin tale 2,Charles Martin SmithTaylor BlackwellDrama FamilyMorgan FreemanHarry Connick Jr.
1387,reindeer games,John FrankenheimerJames FrainAction Adventure Crime Drama Family Fantasy Romance ThrillerCharlize TheronClarence Williams III
1388,a man apart,F. Gary GrayJeff KoberAction Crime Drama ThrillerVin DieselLarenz Tate
1389,aloha,Cameron CroweBradley CooperComedy Drama RomanceEmma StoneBill Murray
1390,ghosts of mississippi,Rob ReinerVirginia MadsenDrama HistoryAlexa PenaVegaCraig T. Nelson
1391,snow falling on cedars,Scott HicksReeve CarneyDrama Mystery Romance ThrillerRick YuneDaniel von Bargen
1392,the rite,Mikael HåfströmColin O'DonoghueDrama Horror Mystery ThrillerAnthony HopkinsToby Jones
1393,gattaca,Andrew NiccolXander BerkeleyDrama Sci-Fi ThrillerBlair UnderwoodMason Gamble
1394,isn't she great,Andrew BergmanNathan LaneBiography Comedy RomanceStockard ChanningJohn Larroquette
1395,space chimps,Kirk De MiccoKenan ThompsonAdventure Animation Comedy Family Sci-FiCheryl HinesOmid Abtahi
1396,head of state,Chris RockDylan BakerComedyBernie MacTracy Morgan
1397,the hangover,Todd PhillipsRob RiggleComedyBradley CooperMike Epps
1398,ip man 3,Wilson YipLynn HungAction Biography Drama HistoryMike TysonKwok-Kwan Chan
1399,austin powers: the spy who shagged me,Jay RoachVerne TroyerAction Adventure Comedy CrimeMuse WatsonRobert Wagner
1400,batman,Tim BurtonJack PalanceAction AdventureMichael GoughWilliam Hootkins
1401,there be dragons,Roland JofféDougray ScottBiography Drama WarJordi MollàLily Cole
1402,lethal weapon 3,Richard DonnerNick ChinlundAction Crime ThrillerRene RussoStuart Wilson
1403,the blind side,John Lee HancockQuinton AaronBiography Drama SportCatherine DyerKim Dickens
1404,rush hour            ,unknownAimee GarciaAction Comedy CrimeJon FooWendie Malick
1405,spy kids,Robert RodriguezCheech MarinAction Adventure Comedy Family Sci-FiAlexa PenaVegaDaryl Sabara
1406,horrible bosses,Seth GordonLindsay SloaneComedy CrimeKevin SpaceyReginald Ballard
1407,true grit,Ethan CoenJeff BridgesAdventure Drama WesternMatt DamonBruce Green
1408,the devil wears prada,David FrankelAnne HathawayComedy Drama RomanceMeryl StreepRebecca Mader
1409,star trek: the motion picture,Robert WiseNichelle NicholsAdventure Mystery Sci-FiLeonard NimoyWalter Koenig
1410,identity thief,Seth GordonEric StonestreetComedy CrimeJon FavreauT.I.
1411,cape fear,Martin ScorseseRobert MitchumCrime ThrillerRobert De NiroJoe Don Baker
1412,21,Robert LuketicJim SturgessCrime Drama ThrillerKevin SpaceyJosh Gad
1413,trainwreck,Judd ApatowRandall ParkComedy RomanceAmy SchumerJosh Segarra
1414,guess who,Kevin Rodney SullivanNicole SullivanComedy RomanceBernie MacSherri Shepherd
1415,the english patient,Anthony MinghellaKristin Scott ThomasDrama Romance WarColin FirthJürgen Prochnow
1416,l.a. confidential,Curtis HansonMatt McCoyCrime Drama Mystery ThrillerKevin SpaceyPaul Guilfoyle
1417,sky high,Mike MitchellKelly PrestonAdventure Comedy Family Sci-FiMichael AngaranoNicholas Braun
1418,in & out,Frank OzWilford BrimleyComedyTom SelleckLauren Ambrose
